Event ID,Crossed MODULE ID,Detector Type
1,74,cylinder
1,207,planar_right
2,42,cylinder
3,27,cylinder
4,43,cylinder
5,42,cylinder
6,51,cylinder
7,50,cylinder
8,74,cylinder
9,65,cylinder
9,368,planar_left
10,41,cylinder
11,27,cylinder
12,64,cylinder
13,35,cylinder
14,67,cylinder
15,49,cylinder
16,43,cylinder
17,27,cylinder
18,56,cylinder
19,35,cylinder
20,57,cylinder
21,67,cylinder
22,33,cylinder
23,73,cylinder
24,42,cylinder
25,59,cylinder
26,42,cylinder
27,32,cylinder
28,27,cylinder
29,18,cylinder
30,64,cylinder
31,25,cylinder
32,41,cylinder
33,57,cylinder
34,64,cylinder
35,42,cylinder
36,32,cylinder
37,34,cylinder
38,16,cylinder
38,587,planar_left
39,34,cylinder
40,401,planar_left
40,57,cylinder
41,65,cylinder
42,17,cylinder
42,559,planar_left
43,74,cylinder
44,48,cylinder
45,74,cylinder
45,223,planar_right
46,73,cylinder
47,24,cylinder
48,72,cylinder
49,74,cylinder
49,126,planar_right
50,58,cylinder
51,57,cylinder
52,417,planar_left
52,17,cylinder
53,56,cylinder
54,42,cylinder
55,74,cylinder
55,175,planar_right
56,27,cylinder
57,72,cylinder
58,48,cylinder
59,51,cylinder
60,27,cylinder
61,19,cylinder
62,72,cylinder
62,348,planar_right
63,66,cylinder
64,75,cylinder
65,34,cylinder
66,58,cylinder
67,51,cylinder
68,16,cylinder
68,605,planar_left
69,75,cylinder
69,110,planar_right
70,42,cylinder
70,305,planar_right
71,25,cylinder
72,56,cylinder
73,58,cylinder
74,34,cylinder
75,26,cylinder
76,26,cylinder
77,64,cylinder
78,129,planar_right
78,33,cylinder
79,56,cylinder
80,72,cylinder
80,345,planar_right
81,384,planar_left
81,65,cylinder
82,74,cylinder
82,207,planar_right
83,72,cylinder
84,66,cylinder
85,49,cylinder
86,73,cylinder
86,319,planar_right
87,48,cylinder
88,67,cylinder
89,57,cylinder
90,64,cylinder
91,72,cylinder
91,332,planar_right
92,34,cylinder
93,48,cylinder
94,59,cylinder
95,34,cylinder
97,34,cylinder
98,73,cylinder
99,25,cylinder
100,50,cylinder
101,66,cylinder
102,33,cylinder
103,65,cylinder
104,417,planar_left
104,17,cylinder
105,66,cylinder
106,16,cylinder
106,602,planar_left
107,17,cylinder
108,58,cylinder
109,24,cylinder
110,192,planar_right
110,65,cylinder
111,27,cylinder
112,41,cylinder
113,16,cylinder
114,33,cylinder
115,73,cylinder
116,66,cylinder
117,16,cylinder
118,32,cylinder
119,26,cylinder
120,40,cylinder
121,65,cylinder
122,33,cylinder
123,26,cylinder
124,40,cylinder
125,34,cylinder
126,49,cylinder
127,48,cylinder
128,17,cylinder
129,72,cylinder
130,592,planar_left
130,18,cylinder
130,382,planar_left
131,17,cylinder
132,56,cylinder
133,72,cylinder
134,65,cylinder
135,17,cylinder
135,559,planar_left
136,355,planar_left
136,72,cylinder
136,331,planar_right
137,57,cylinder
138,34,cylinder
139,66,cylinder
140,74,cylinder
141,50,cylinder
142,65,cylinder
143,58,cylinder
144,56,cylinder
145,27,cylinder
146,41,cylinder
147,67,cylinder
148,18,cylinder
149,66,cylinder
150,35,cylinder
151,59,cylinder
152,19,cylinder
152,378,planar_left
153,58,cylinder
154,67,cylinder
154,595,planar_left
155,27,cylinder
156,58,cylinder
157,27,cylinder
158,51,cylinder
159,18,cylinder
159,383,planar_left
159,289,planar_right
160,67,cylinder
161,65,cylinder
162,24,cylinder
163,66,cylinder
164,32,cylinder
165,75,cylinder
166,26,cylinder
167,74,cylinder
167,191,planar_right
168,42,cylinder
169,34,cylinder
170,40,cylinder
171,66,cylinder
172,355,planar_left
172,48,cylinder
173,34,cylinder
174,73,cylinder
174,255,planar_right
175,42,cylinder
176,33,cylinder
177,67,cylinder
178,41,cylinder
179,26,cylinder
180,342,planar_right
180,35,cylinder
181,49,cylinder
182,74,cylinder
183,26,cylinder
184,48,cylinder
185,51,cylinder
186,18,cylinder
187,26,cylinder
188,73,cylinder
189,65,cylinder
189,208,planar_right
190,34,cylinder
191,25,cylinder
192,50,cylinder
193,26,cylinder
194,288,planar_right
194,18,cylinder
195,33,cylinder
196,50,cylinder
197,357,planar_left
197,72,cylinder
198,19,cylinder
198,364,planar_left
199,33,cylinder
200,56,cylinder
201,57,cylinder
202,58,cylinder
203,42,cylinder
204,103,planar_right
204,64,cylinder
205,58,cylinder
206,27,cylinder
207,64,cylinder
208,35,cylinder
209,66,cylinder
210,75,cylinder
211,67,cylinder
212,25,cylinder
212,208,planar_right
213,66,cylinder
214,50,cylinder
215,32,cylinder
216,73,cylinder
216,287,planar_right
217,42,cylinder
218,66,cylinder
219,34,cylinder
220,48,cylinder
221,42,cylinder
222,65,cylinder
223,56,cylinder
224,33,cylinder
225,24,cylinder
226,17,cylinder
226,527,planar_left
227,342,planar_right
227,19,cylinder
228,50,cylinder
228,304,planar_right
229,64,cylinder
230,58,cylinder
231,64,cylinder
232,40,cylinder
233,192,planar_right
233,17,cylinder
233,527,planar_left
234,16,cylinder
234,589,planar_left
235,42,cylinder
236,65,cylinder
236,384,planar_left
237,49,cylinder
238,99,planar_right
238,24,cylinder
239,26,cylinder
240,43,cylinder
241,73,cylinder
241,239,planar_right
242,49,cylinder
243,72,cylinder
244,18,cylinder
244,430,planar_left
245,59,cylinder
246,24,cylinder
247,57,cylinder
248,50,cylinder
249,74,cylinder
250,56,cylinder
251,32,cylinder
252,73,cylinder
252,335,planar_right
253,57,cylinder
254,18,cylinder
255,57,cylinder
256,33,cylinder
257,43,cylinder
258,48,cylinder
259,27,cylinder
260,66,cylinder
261,72,cylinder
262,40,cylinder
263,18,cylinder
263,447,planar_left
264,35,cylinder
265,51,cylinder
266,35,cylinder
267,25,cylinder
268,17,cylinder
268,575,planar_left
268,368,planar_left
269,57,cylinder
270,34,cylinder
270,272,planar_right
271,416,planar_left
271,17,cylinder
271,543,planar_left
272,323,planar_right
272,19,cylinder
272,380,planar_left
273,24,cylinder
273,370,planar_left
274,72,cylinder
274,333,planar_right
274,353,planar_left
275,25,cylinder
276,67,cylinder
277,59,cylinder
278,145,planar_right
278,73,cylinder
278,301,planar_right
279,343,planar_right
279,51,cylinder
280,58,cylinder
281,66,cylinder
282,25,cylinder
283,272,planar_right
283,18,cylinder
283,447,planar_left
284,50,cylinder
285,26,cylinder
286,32,cylinder
287,27,cylinder
288,240,planar_right
288,42,cylinder
289,33,cylinder
290,40,cylinder
291,43,cylinder
292,42,cylinder
293,32,cylinder
294,58,cylinder
295,34,cylinder
296,75,cylinder
297,51,cylinder
298,42,cylinder
299,48,cylinder
300,17,cylinder
301,16,cylinder
302,49,cylinder
303,67,cylinder
304,25,cylinder
305,56,cylinder
305,356,planar_left
306,50,cylinder
307,58,cylinder
308,27,cylinder
309,273,planar_right
309,26,cylinder
310,19,cylinder
311,32,cylinder
312,17,cylinder
312,526,planar_left
313,64,cylinder
313,371,planar_left
314,58,cylinder
315,66,cylinder
315,224,planar_right
316,43,cylinder
317,25,cylinder
318,27,cylinder
319,73,cylinder
320,50,cylinder
321,51,cylinder
322,35,cylinder
323,49,cylinder
324,32,cylinder
325,59,cylinder
326,41,cylinder
327,57,cylinder
328,26,cylinder
329,67,cylinder
330,25,cylinder
331,66,cylinder
332,545,planar_left
332,58,cylinder
333,74,cylinder
333,223,planar_right
334,19,cylinder
334,381,planar_left
335,546,planar_left
335,18,cylinder
335,398,planar_left
336,35,cylinder
337,75,cylinder
338,24,cylinder
339,51,cylinder
340,41,cylinder
341,416,planar_left
341,33,cylinder
342,49,cylinder
342,384,planar_left
343,65,cylinder
344,16,cylinder
345,304,planar_right
345,18,cylinder
